INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172010483,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,466,FALSE,2017-02-08T09:19:00Z,2017,2,Wednesday,9,Part Three,ESTELLA ST,42.28687441,-71.09457079,"(42.28687441, -71.09457079)"
I182024614,617,Larceny,LARCENY THEFT FROM BUILDING,C11,347,FALSE,2018-04-02T19:54:00Z,2018,4,Monday,19,Part One,ADAMS ST,42.30497366,-71.06134412,"(42.30497366, -71.06134412)"
I152052822,3501,Missing Person Reported,MISSING PERSON,C11,357,FALSE,2015-06-25T20:00:00Z,2015,6,Thursday,20,Part Three,WASHINGTON ST,42.29745339,-71.07253425,"(42.29745339, -71.07253425)"
I162033738,3410,Towed,TOWED MOTOR VEHICLE,A1,83,FALSE,2016-05-01T11:27:00Z,2016,5,Sunday,11,Part Three,CHARTER ST,42.36676888,-71.05373654,"(42.36676888, -71.05373654)"
I182001952,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B2,329,FALSE,2018-01-08T20:10:00Z,2018,1,Monday,20,Part Two,BLUE HILL AVE,42.30896999,-71.08284839,"(42.30896999, -71.08284839)"
I182056796,3114,Investigate Property,INVESTIGATE PROPERTY,C11,355,FALSE,2018-07-19T09:04:00Z,2018,7,Thursday,9,Part Three,PARKMAN ST,42.29648529,-71.05968306,"(42.29648529, -71.05968306)"
I172080678,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,172,FALSE,2017-09-27T14:31:00Z,2017,9,Wednesday,14,Part Two,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I182063487,616,Larceny,LARCENY THEFT OF BICYCLE,D4,141,FALSE,2018-08-10T07:41:00Z,2018,8,Friday,7,Part One,HEREFORD ST,42.34894667,-71.08574065,"(42.34894667, -71.08574065)"
I182006000,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,B2,587,FALSE,2018-01-20T22:00:00Z,2018,1,Saturday,22,Part One,DELLE AVE,42.33122453,-71.09907131,"(42.33122453, -71.09907131)"
I162026285,3201,Property Lost,PROPERTY - LOST,C6,177,FALSE,2016-04-02T20:50:00Z,2016,4,Saturday,20,Part Three,MASSACHUSETTS AVE,42.32701527,-71.0670491,"(42.32701527, -71.06704910)"
I162103664,3114,Investigate Property,INVESTIGATE PROPERTY,A7,12,FALSE,2016-12-20T20:06:00Z,2016,12,Tuesday,20,Part Three,BENNINGTON ST,42.38588101,-71.00898191,"(42.38588101, -71.00898191)"
I152075729,3410,Towed,TOWED MOTOR VEHICLE,D14,816,FALSE,2015-09-12T07:29:00Z,2015,9,Saturday,7,Part Three,ARDEN ST,42.35892181,-71.12918866,"(42.35892181, -71.12918866)"
I172074935,3115,Investigate Person,INVESTIGATE PERSON,C6,936,FALSE,2017-09-09T19:07:00Z,2017,9,Saturday,19,Part Three,DALESSIO CT,42.33913252,-71.05465387,"(42.33913252, -71.05465387)"
I152099074,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,C11,236,FALSE,2015-11-30T18:23:00Z,2015,11,Monday,18,Part Three,EDISON GRN,42.31931166,-71.05899514,"(42.31931166, -71.05899514)"
I182076648,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,523,FALSE,2018-09-21T17:00:00Z,2018,9,Friday,17,Part Three,HYDE PARK AVE,42.24690525,-71.12828904,"(42.24690525, -71.12828904)"
I162037862,3114,Investigate Property,INVESTIGATE PROPERTY,D4,628,FALSE,2016-05-15T10:36:00Z,2016,5,Sunday,10,Part Three,YAWKEY WAY,42.3465382,-71.09880598,"(42.34653820, -71.09880598)"
I172093826,724,Auto Theft,AUTO THEFT,A15,41,FALSE,2017-11-08T18:45:00Z,2017,11,Wednesday,18,Part One,TREMONT ST,42.37596308,-71.05747223,"(42.37596308, -71.05747223)"
I152062343,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D4,172,FALSE,2015-07-28T00:00:00Z,2015,7,Tuesday,0,Part Two,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I172041170,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,444,FALSE,2017-05-24T20:42:00Z,2017,5,Wednesday,20,Part Two,GLENWAY ST,42.29693391,-71.08066576,"(42.29693391, -71.08066576)"
I172030201,611,Larceny,LARCENY PICK-POCKET,A1,93,FALSE,2017-04-17T22:30:00Z,2017,4,Monday,22,Part One,FANEUIL HALL SQ,42.36020464,-71.05620816,"(42.36020464, -71.05620816)"
I152096456,724,Auto Theft,AUTO THEFT,B2,325,FALSE,2015-11-20T19:43:00Z,2015,11,Friday,19,Part One,QUINCY ST,42.31332153,-71.07591511,"(42.31332153, -71.07591511)"
I172082898,1402,Vandalism,VANDALISM,A7,10,FALSE,2017-10-03T11:30:00Z,2017,10,Tuesday,11,Part Two,BREED ST,42.3871935,-71.00656024,"(42.38719350, -71.00656024)"
I152054930,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,D14,761,FALSE,2015-07-03T14:05:00Z,2015,7,Friday,14,Part Three,BROCK ST,42.34923607,-71.160429250000007,"(42.34923607, -71.16042925)"
I182042368,3301,Verbal Disputes,VERBAL DISPUTE,C11,361,FALSE,2018-06-01T20:02:00Z,2018,6,Friday,20,Part Three,DORCHESTER AVE,42.29557185,-71.06152074,"(42.29557185, -71.06152074)"
I182034228,1402,Vandalism,VANDALISM,E18,517,FALSE,2018-05-06T12:32:00Z,2018,5,Sunday,12,Part Two,WASHINGTON ST,42.24604121,-71.11999261,"(42.24604121, -71.11999261)"
I182013836,3201,Property Lost,PROPERTY - LOST,D4,619,FALSE,2018-02-16T23:00:00Z,2018,2,Friday,23,Part Three,GAINSBOROUGH ST,42.34239114,-71.08872018,"(42.34239114, -71.08872018)"
I162052433,3114,Investigate Property,INVESTIGATE PROPERTY,A1,88,FALSE,2016-07-02T07:00:00Z,2016,7,Saturday,7,Part Three,HANOVER ST,42.36454404,-71.05369186,"(42.36454404, -71.05369186)"
I182015010,2610,Other,TRESPASSING,D4,169,FALSE,2018-02-26T13:12:00Z,2018,2,Monday,13,Part Two,E CONCORD ST,42.33572403,-71.07232651,"(42.33572403, -71.07232651)"
I172069487,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,318,FALSE,2017-08-22T18:10:00Z,2017,8,Tuesday,18,Part Three,BROOKLEDGE ST,42.30956305,-71.08990197,"(42.30956305, -71.08990197)"
I172019676,3301,Verbal Disputes,VERBAL DISPUTE,B3,475,FALSE,2017-03-12T23:08:00Z,2017,3,Sunday,23,Part Three,CUMMINS HWY,42.27056677,-71.10100994,"(42.27056677, -71.10100994)"
I182043553,2647,Other,THREATS TO DO BODILY HARM,A1,117,FALSE,2018-06-05T21:57:00Z,2018,6,Tuesday,21,Part Two,HARRISON AVE,42.35115526,-71.06130589,"(42.35115526, -71.06130589)"
I162062570,3410,Towed,TOWED MOTOR VEHICLE,C11,336,FALSE,2016-08-04T14:57:00Z,2016,8,Thursday,14,Part Three,NORTON ST,42.30626521,-71.06864556,"(42.30626521, -71.06864556)"
I162061377,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,516,FALSE,2016-07-31T23:17:00Z,2016,7,Sunday,23,Part Three,TRUMAN PKWY,42.25188297,-71.11915243,"(42.25188297, -71.11915243)"
I172057412,3301,Verbal Disputes,VERBAL DISPUTE,A1,103,FALSE,2017-07-15T23:51:00Z,2017,7,Saturday,23,Part Three,TREMONT ST,42.3572734,-71.0611658,"(42.35727340, -71.06116580)"
I152066705,3007,Medical Assistance,SUDDEN DEATH,E13,303,FALSE,2015-08-12T14:54:00Z,2015,8,Wednesday,14,Part Three,WALNUT PARK,42.31591905,-71.09691295,"(42.31591905, -71.09691295)"
I182064633,3160,Fire Related Reports,"FIRE REPORT - CAR, BRUSH, ETC.",E13,657,FALSE,2018-08-13T21:37:00Z,2018,8,Monday,21,Part Three,LOUDER'S LN,42.30519547,-71.12672564,"(42.30519547, -71.12672564)"
I182067101,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,C6,NA,FALSE,2018-08-22T07:51:00Z,2018,8,Wednesday,7,Part Three,NA,NA,NA,"(0.00000000, 0.00000000)"
I172023036,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,NA,FALSE,2017-03-24T17:04:00Z,2017,3,Friday,17,Part Three,ATLANTIC AVE,NA,NA,"(0.00000000, 0.00000000)"
I182033773,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,794,FALSE,2018-05-04T19:45:00Z,2018,5,Friday,19,Part Three,HARVARD AVE,42.35204779,-71.13180684,"(42.35204779, -71.13180684)"
I162104807,3301,Verbal Disputes,VERBAL DISPUTE,D14,768,FALSE,2016-12-25T09:56:00Z,2016,12,Sunday,9,Part Three,PARSONS ST,42.35557275,-71.15635477,"(42.35557275, -71.15635477)"
I162042606,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B2,268,FALSE,2016-05-31T10:59:00Z,2016,5,Tuesday,10,Part Three,DUDLEY ST,42.32832264,-71.07861091,"(42.32832264, -71.07861091)"
I152084614,2646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,901,FALSE,2015-10-11T01:50:00Z,2015,10,Sunday,1,Part Two,SAINT ALPHONSUS ST,42.3351998,-71.0998949,"(42.33519980, -71.09989490)"
I162012334,1402,Vandalism,VANDALISM,C11,358,FALSE,2016-02-15T20:00:00Z,2016,2,Monday,20,Part Two,LARCHMONT ST,42.29703368,-71.06860662,"(42.29703368, -71.06860662)"
I162072277,1402,Vandalism,VANDALISM,D4,626,FALSE,2016-09-05T02:13:00Z,2016,9,Monday,2,Part Two,KILMARNOCK ST,42.34268073,-71.09937714,"(42.34268073, -71.09937714)"
I172100331,3115,Investigate Person,INVESTIGATE PERSON,A1,64,FALSE,2017-12-03T10:18:00Z,2017,12,Sunday,10,Part Three,FRUIT ST,42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
I162044616,3114,Investigate Property,INVESTIGATE PROPERTY,E13,645,FALSE,2016-06-06T11:00:00Z,2016,6,Monday,11,Part Three,CENTRE ST,42.31265126,-71.11414509,"(42.31265126, -71.11414509)"
I152085714,617,Larceny,LARCENY THEFT FROM BUILDING,D4,145,FALSE,2015-10-15T13:03:00Z,2015,10,Thursday,13,Part One,W NEWTON ST,42.34492261,-71.08109885,"(42.34492261, -71.08109885)"
I182025624,613,Larceny,LARCENY SHOPLIFTING,C6,186,FALSE,2018-04-06T13:22:00Z,2018,4,Friday,13,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I182064344,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,NA,NA,FALSE,2018-08-12T23:59:00Z,2018,8,Sunday,23,Part Three,NA,42.28770115,-71.10671292,"(42.28770115, -71.10671292)"
I152080935,1402,Vandalism,VANDALISM,E13,912,FALSE,2015-09-28T23:14:00Z,2015,9,Monday,23,Part Two,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I162005753,613,Larceny,LARCENY SHOPLIFTING,D4,134,FALSE,2016-01-21T23:06:00Z,2016,1,Thursday,23,Part One,DARTMOUTH ST,42.35029374,-71.07744671,"(42.35029374, -71.07744671)"
I162041277,3115,Investigate Person,INVESTIGATE PERSON,B2,265,FALSE,2016-05-26T17:47:00Z,2016,5,Thursday,17,Part Three,MORELAND ST,42.32324433,-71.07752376,"(42.32324433, -71.07752376)"
I162046087,612,Larceny,LARCENY PURSE SNATCH - NO FORCE,D4,NA,FALSE,2016-06-11T09:55:00Z,2016,6,Saturday,9,Part One,MASSACHUSETTS AVE,NA,NA,"(0.00000000, 0.00000000)"
I172076194,3115,Investigate Person,INVESTIGATE PERSON,C6,200,FALSE,2017-09-13T16:00:00Z,2017,9,Wednesday,16,Part Three,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I182075077,619,Larceny,LARCENY ALL OTHERS,A1,NA,FALSE,2018-09-17T16:04:00Z,2018,9,Monday,16,Part One,TEMPLE PL,NA,NA,"(0.00000000, 0.00000000)"
I182047466,1402,Vandalism,VANDALISM,C6,915,FALSE,2018-06-18T12:02:00Z,2018,6,Monday,12,Part Two,E NINTH ST,42.33214285,-71.05121359,"(42.33214285, -71.05121359)"
I172055513,3301,Verbal Disputes,VERBAL DISPUTE,B3,428,FALSE,2017-07-09T21:53:00Z,2017,7,Sunday,21,Part Three,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I152074560,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,B3,427,FALSE,2015-09-08T12:53:00Z,2015,9,Tuesday,12,Part Three,NORFOLK ST,42.27897754,-71.08954272,"(42.27897754, -71.08954272)"
I162093662,3301,Verbal Disputes,VERBAL DISPUTE,B2,260,FALSE,2016-11-15T22:09:00Z,2016,11,Tuesday,22,Part Three,HARLOW ST,42.31915263,-71.07189822,"(42.31915263, -71.07189822)"
I172098084,3001,Medical Assistance,DEATH INVESTIGATION,A1,116,FALSE,2017-11-25T14:18:00Z,2017,11,Saturday,14,Part Three,OXFORD ST,42.35193461,-71.06048592,"(42.35193461, -71.06048592)"
I172041305,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,77,FALSE,2017-05-10T12:00:00Z,2017,5,Wednesday,12,Part Two,CANAL ST,42.36489527,-71.06050249,"(42.36489527, -71.06050249)"
I182055076,3115,Investigate Person,INVESTIGATE PERSON,D4,903,FALSE,2018-07-13T08:52:00Z,2018,7,Friday,8,Part Three,HAMMOND ST,42.33503481,-71.08240248,"(42.33503481, -71.08240248)"
I172092981,2604,Other,EXTORTION OR BLACKMAIL,E5,661,FALSE,2017-11-06T18:57:00Z,2017,11,Monday,18,Part Two,SOUTH ST,42.28829045,-71.13165023,"(42.28829045, -71.13165023)"
I172086507,3502,Missing Person Located,MISSING PERSON - LOCATED,A1,123,FALSE,2017-10-16T17:54:00Z,2017,10,Monday,17,Part Three,WASHINGTON ST,NA,NA,"(0.00000000, 0.00000000)"
I172081046,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,330,FALSE,2017-09-28T16:00:00Z,2017,9,Thursday,16,Part Three,COLUMBIA RD,42.30543493,-71.08057791,"(42.30543493, -71.08057791)"
I162042111,2647,Other,THREATS TO DO BODILY HARM,C11,388,FALSE,2016-05-29T13:27:00Z,2016,5,Sunday,13,Part Two,DORCHESTER AVE,42.2783992,-71.06636305,"(42.27839920, -71.06636305)"
I182000551,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,E18,495,FALSE,2018-01-03T07:53:00Z,2018,1,Wednesday,7,Part Three,ARLINGTON ST,42.26274326,-71.12160671,"(42.26274326, -71.12160671)"
I162085549,3115,Investigate Person,INVESTIGATE PERSON,A7,NA,FALSE,2016-10-19T04:57:00Z,2016,10,Wednesday,4,Part Three,NA,NA,NA,"(0.00000000, 0.00000000)"
I172079141,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,417,FALSE,2017-09-23T00:40:00Z,2017,9,Saturday,0,Part Three,ROCKWELL ST,42.28339069,-71.07388628,"(42.28339069, -71.07388628)"
I182010339,3125,Warrant Arrests,WARRANT ARREST,D4,142,FALSE,2018-02-08T13:44:00Z,2018,2,Thursday,13,Part Three,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I172073244,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,NA,FALSE,2017-09-04T12:14:00Z,2017,9,Monday,12,Part Three,HARVARD ST,NA,NA,"(0.00000000, 0.00000000)"
I162100526,3115,Investigate Person,INVESTIGATE PERSON,B3,464,FALSE,2016-12-09T18:10:00Z,2016,12,Friday,18,Part Three,BLUE HILL AVE,42.29171816,-71.08911807,"(42.29171816, -71.08911807)"
I172100194,611,Larceny,LARCENY PICK-POCKET,A1,100,FALSE,2017-12-02T18:47:00Z,2017,12,Saturday,18,Part One,BROAD ST,42.35755601,-71.05299156,"(42.35755601, -71.05299156)"
I152077412,3410,Towed,TOWED MOTOR VEHICLE,C11,254,FALSE,2015-09-17T16:59:00Z,2015,9,Thursday,16,Part Three,MARYLAND ST,42.31165709,-71.05531787,"(42.31165709, -71.05531787)"
I162061274,801,Simple Assault,ASSAULT - SIMPLE,E13,577,FALSE,2016-07-31T16:19:00Z,2016,7,Sunday,16,Part Two,WASHINGTON ST,42.31485546,-71.0992241,"(42.31485546, -71.09922410)"
I162095669,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,429,FALSE,2016-11-22T15:13:00Z,2016,11,Tuesday,15,Part Three,WINSTON RD,42.28508809,-71.08789462,"(42.28508809, -71.08789462)"
I172105218,2660,Other,OTHER OFFENSE,A1,NA,FALSE,2017-12-21T02:24:00Z,2017,12,Thursday,2,Part Two,BOYLSTON ST,NA,NA,"(0.00000000, 0.00000000)"
I162081268,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,446,FALSE,2016-10-04T13:44:00Z,2016,10,Tuesday,13,Part Three,ATHELWOLD ST,42.29603943,-71.07717023,"(42.29603943, -71.07717023)"
I172098196,3301,Verbal Disputes,VERBAL DISPUTE,B2,904,FALSE,2017-11-25T23:07:00Z,2017,11,Saturday,23,Part Three,DEARBORN ST,42.32909775,-71.07906694,"(42.32909775, -71.07906694)"
I162003658,3410,Towed,TOWED MOTOR VEHICLE,A15,55,FALSE,2016-01-14T09:45:00Z,2016,1,Thursday,9,Part Three,SALEM ST,42.3776959,-71.06592652,"(42.37769590, -71.06592652)"
I182053283,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,D4,627,FALSE,2018-07-07T00:24:00Z,2018,7,Saturday,0,Part Two,BOYLSTON ST,42.34396866,-71.100013,"(42.34396866, -71.10001300)"
I172062383,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,B2,NA,FALSE,2017-07-31T19:55:00Z,2017,7,Monday,19,Part Three,CENTRE ST,NA,NA,"(0.00000000, 0.00000000)"
I182023975,3501,Missing Person Reported,MISSING PERSON,A1,127,FALSE,2018-03-31T15:20:00Z,2018,3,Saturday,15,Part Three,TREMONT ST,42.34868544,-71.06608848,"(42.34868544, -71.06608848)"
I182053622,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,709,FALSE,2018-07-08T11:43:00Z,2018,7,Sunday,11,Part Three,LAGRANGE ST,42.27752565,-71.1537112,"(42.27752565, -71.15371120)"
I182017838,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,794,FALSE,2018-03-08T20:21:00Z,2018,3,Thursday,20,Part Three,HARVARD AVE,42.35204779,-71.13180684,"(42.35204779, -71.13180684)"
I162087357,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,165,FALSE,2016-10-25T05:09:00Z,2016,10,Tuesday,5,Part Two,DORCHESTER AVE,42.33014012,-71.05695787,"(42.33014012, -71.05695787)"
I162085009,1402,Vandalism,VANDALISM,B3,418,FALSE,2016-10-17T07:55:00Z,2016,10,Monday,7,Part Two,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)"
I172077712,3114,Investigate Property,INVESTIGATE PROPERTY,D4,139,FALSE,2017-09-18T12:11:00Z,2017,9,Monday,12,Part Three,BEACON ST,42.35118146,-71.0882412,"(42.35118146, -71.08824120)"
I182004586,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A1,NA,FALSE,2018-01-17T22:35:00Z,2018,1,Wednesday,22,Part Three,NA,NA,NA,"(0.00000000, 0.00000000)"
I152060125,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,357,FALSE,2015-07-21T00:32:00Z,2015,7,Tuesday,0,Part Two,DAKOTA ST,42.29938509,-71.06978865,"(42.29938509, -71.06978865)"
I172107057,2647,Other,THREATS TO DO BODILY HARM,B2,321,FALSE,2017-12-29T08:28:00Z,2017,12,Friday,8,Part Two,WARREN ST,42.31250552,-71.08314735,"(42.31250552, -71.08314735)"
I162096809,2610,Other,TRESPASSING,D4,162,FALSE,2016-11-27T10:55:00Z,2016,11,Sunday,10,Part Two,HARRISON AVE,42.34493428,-71.06366374,"(42.34493428, -71.06366374)"
I162039714,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,NA,FALSE,2016-05-20T11:30:00Z,2016,5,Friday,11,Part One,NA,NA,NA,"(0.00000000, 0.00000000)"
I172077319,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,179,FALSE,2017-09-17T06:07:00Z,2017,9,Sunday,6,Part Two,READING ST,42.33061974,-71.07388234,"(42.33061974, -71.07388234)"
I172067542,3115,Investigate Person,INVESTIGATE PERSON,C11,343,FALSE,2017-08-16T17:51:00Z,2017,8,Wednesday,17,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162016616,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,148,FALSE,2016-03-02T11:33:00Z,2016,3,Wednesday,11,Part One,GREENWICH PARK,42.34262866,-71.08051921,"(42.34262866, -71.08051921)"
I182076841,3111,License Violation,LICENSE PREMISE VIOLATION,C6,222,FALSE,2018-09-23T01:35:00Z,2018,9,Sunday,1,Part Three,SUMMER ST,42.33773362,-71.03548407,"(42.33773362, -71.03548407)"
I162082886,3114,Investigate Property,INVESTIGATE PROPERTY,NA,NA,FALSE,2016-10-09T20:35:00Z,2016,10,Sunday,20,Part Three,BERNARD,-1,-1,"(-1.00000000, -1.00000000)"
I172018004,1844,Drug Violation,DRUGS - POSS CLASS C,E13,578,FALSE,2017-03-06T20:49:00Z,2017,3,Monday,20,Part Two,PAUL GORE ST,42.31974094,-71.10840592,"(42.31974094, -71.10840592)"
I162097814,2660,Other,OTHER OFFENSE,D4,142,FALSE,2016-11-30T18:40:00Z,2016,11,Wednesday,18,Part Two,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I162061161,3501,Missing Person Reported,MISSING PERSON,D14,785,FALSE,2016-07-31T05:30:00Z,2016,7,Sunday,5,Part Three,RANSOM RD,42.34305189,-71.14524866,"(42.34305189, -71.14524866)"
I182055481,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,140,FALSE,2018-07-14T16:37:00Z,2018,7,Saturday,16,Part One,COMMONWEALTH AVE,42.34977652,-71.08670876,"(42.34977652, -71.08670876)"
I172034725,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,413,FALSE,2017-05-03T14:13:00Z,2017,5,Wednesday,14,Part Three,GALLIVAN BLVD,42.27809813,-71.07421895,"(42.27809813, -71.07421895)"
I162088256,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A15,41,FALSE,2016-10-28T11:44:00Z,2016,10,Friday,11,Part Two,VINE ST,42.37663167,-71.05593196,"(42.37663167, -71.05593196)"
I182064567,3301,Verbal Disputes,VERBAL DISPUTE,B3,908,FALSE,2018-08-13T18:56:00Z,2018,8,Monday,18,Part Three,SHANDON RD,42.29505434,-71.08904077,"(42.29505434, -71.08904077)"
I182054303,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,428,FALSE,2018-07-10T16:51:00Z,2018,7,Tuesday,16,Part Three,CLARKWOOD ST,42.28013735,-71.09079826,"(42.28013735, -71.09079826)"
I182021794,619,Larceny,LARCENY ALL OTHERS,C6,188,FALSE,2018-03-23T03:00:00Z,2018,3,Friday,3,Part One,SAINT MARGARET ST,42.32183637,-71.05928338,"(42.32183637, -71.05928338)"
I152050632,3115,Investigate Person,INVESTIGATE PERSON,B2,281,FALSE,2015-06-18T17:53:00Z,2015,6,Thursday,17,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I172032312,2647,Other,THREATS TO DO BODILY HARM,E13,633,FALSE,2017-04-25T17:50:00Z,2017,4,Tuesday,17,Part Two,CHESTNUT ST,42.321457,-71.119624,"(42.32145700, -71.11962400)"
I182059536,3201,Property Lost,PROPERTY - LOST,D4,131,FALSE,2018-07-28T11:30:00Z,2018,7,Saturday,11,Part Three,BEACON ST,42.35505244,-71.07390742,"(42.35505244, -71.07390742)"
I182025001,3207,Property Found,PROPERTY - FOUND,C6,200,FALSE,2018-02-27T11:35:00Z,2018,2,Tuesday,11,Part Three,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
